verbe,id,auteur,titre,intervale tps,date,page,ctx gauche,mot gauche,ponct G,pivot,ponct D,mot droit,ctx droit
montrer,14,PHILIPPE Charles-Louis,La Mère et l'enfant,1900-1909,1900,127,ma petite ville un village avec un château . Le,village,,montre,,une,rue et demie le long de laquelle c' est le commerce des
montrer,15,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,14,"ma faute si les âmes , dont on arrache les voiles et qu'",on,,montre,,à,"nu , exhalent une si forte odeur de pourriture . Voici"
montrer,16,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,28,me méfie de la propreté de madame ... lorsqu' elle m',a,,montré,,son,"cabinet de toilette , je n' y ai remarqué ni petit"
montrer,17,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,39,", qui l' avait accaparé pour tout le département , s'",y,,montrait,,d',"une grande habileté , c'est-à-dire qu' il gardait"
montrer,18,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,48,le dire ... et ça ne tombe jamais que sur celles qui,se,,montrèrent,,gentilles,"pour nous ... son mari , à celle -là ..."
montrer,19,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,54,", comme je l' ai déjà dit , madame s' était",toujours,,montrée,,généreuse,"envers moi , au point que ces affaires - que"
montrer,20,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,90,quand le capitaine s' écria : - ah ! ... il faut que je,vous,,montre,,quelque,"chose de curieux et que vous n' avez , bien sûr ,"
montrer,21,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,114,"fut gênée ... pourtant , je dois reconnaître qu'",elle,,montra,,une,"certaine crânerie , en cette circonstance plutôt"
montrer,22,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,117,", miss complètement ivre ... me dit -elle ... et elle",me,,montra,,la,"gouvernante , vautrée , les bras allongés , une"
montrer,23,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,151,de bouteille qu' on vide ... ses yeux révulsés,ne,,montraient,,plus,", entre les paupières agrandies , que leurs"
montrer,24,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,172,madame si soupçonneuse et qui voit le mal partout,lui,,montre,,une,"confiance aveugle . Elle qui ne croit à personne ,"
montrer,25,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,199,"même à cause de son succès , la comtesse Fergus",se,,montra,,un,"peu hautaine , du moins trop réservée . Il semblait"
montrer,26,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,199,"leurs propres irrégularités sociales ,",se,,montrèrent,,d',une sévérité étrangement implacable envers
montrer,27,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,222,homme en pierre est plus nu que vous le croyez ... qu',il,,montre,,une,... un ... un instrument d' impureté ... une chose
montrer,28,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,230,ne sais pas ce que madame veut dire par convenable,...,-,montrez,,-moi,votre linge ... allez me chercher votre linge ...
montrer,29,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,230,"toujours jolies , ces dessous à peine passés , me",les,,montrait,",",me,"les choisissait , en me faisant des"
montrer,30,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,231,", demain ... je vous indiquerai ... ensuite , madame",me,,montra,,sa,"chambre , ses armoires , ses penderies , la place de"
montrer,31,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,232,homme doit être réveillé à neuf heures . Elle,me,,montra,,où,"l'on mettait le linge de M. Xavier , ses cravates , ses"
montrer,32,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,236,"brusque , jamais un reproche . Au contraire ... elle",se,,montrait,,familière,", presque camarade , au point que , parfois ,"
montrer,33,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,237,"un très joli garçon , plus joli encore que ne",le,,montrait,,sa,photographie . Une légère moustache blonde - deux
montrer,34,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,288,la crasse des origines inférieures . Elle,se,,montrait,,insolente,", c' est le cas de le dire , comme une ancienne"
montrer,35,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,308,"claires et luisantes ... et le buffet dans le fond ,",qui,,montrait,,des,"verreries foraines , des vaisselles d' héritage"
montrer,36,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,309,"avait , en disant ces mots , déplacé sa chaise , et",me,,montrait,",",maintenant,", son profil . Je m' attendais à voir un nez"
montrer,37,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,312,inconnus dans sa tête . Sa rapacité de paysanne,lui,,montrait,,des,"coffres pleins d' or , des testaments fabuleux ..."
montrer,38,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,327,", et il semblait un peu gâteux . Quant à William , il",se,,montra,,charmant,", galant , empressé , me fit sous la table des"
montrer,39,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,332,"très galbeux , des barons , des vicomtes , qui",lui,,montraient,,une,"certaine amitié , sachant qu' il possédait , de"
montrer,40,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,339,"... les lèvres , très courtes et",retroussées,",",montrent,",",entre,"les dents gâtées , des trous noirs . Son teint"
montrer,41,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,340,lui coulent dans l' oreille des mots mystérieux et,lui,,montrent,,des,dépêches confidentielles . Le reste de la
montrer,42,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,342,"servi et cinq louis prêts . Le soir , après s'",être,,montré,,aux,"ambassadeurs , au cirque , à l' Olympia , très"
montrer,43,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,343,"elle était , je le répète , plutôt timide ...",madame,,montrait,,aussi,", au milieu du désordre de sa maison , parmi tout"
montrer,44,MIRBEAU Octave,Le Journal d'une femme de chambre,1900-1909,1900,376,"rien de ce qui peut m' embellir , et il aime que le soir",je,,montre,,ma,peau dans un petit décolletage aguichant ... il faut
montrer,45,COLETTE ,Claudine à l'école,1900-1909,1900,24,", la porte de la classe des garçons , et quelqu'un",se,,montre,,en,"demandant avec un drôle d' accent marseillais : "" qu'"
montrer,46,COLETTE ,Claudine à l'école,1900-1909,1900,33,bien dix-huit ans . Et mes cheveux aussi valent d',être,,montrés,",",puisqu',ils me font une toison remuante de boucles
montrer,47,COLETTE ,Claudine à l'école,1900-1909,1900,35,"liberté ? Ton mari ne fera pas ce qu' il voudra ,",diable,!,Montre,,-moi,"cette figure . Tu te portes bien ? Un peu d' anémie ,"
montrer,48,COLETTE ,Claudine à l'école,1900-1909,1900,36,il passe à la grande Anaïs qui sèche sur son,banc,- .,montre,,-moi,"ton cahier . Pendant qu' il le feuillette , assez"
montrer,49,COLETTE ,Claudine à l'école,1900-1909,1900,52,et prend plaisir à voir courir ces grandes filles,qui,,montrent,,inconsciemment,", les unes comme Marie Belhomme , et"
montrer,50,COLETTE ,Claudine à l'école,1900-1909,1900,68,"me laisse tout à fait tranquille , et que même elle",se,,montre,,très,bonne . Nous la faisions plus mauvaise qu' elle ne
montrer,51,COLETTE ,Claudine à l'école,1900-1909,1900,88,certes pas leurs tendresses si vives ... Anaïs,me,,montre,,un,dessin de Gil Baër représentant un petit jeune
montrer,52,COLETTE ,Claudine à l'école,1900-1909,1900,135,sont toujours ensemble dans la seconde classe .,Aimée,,montre,,une,"lettre à la rousse , et elles rient aux éclats , mais"
montrer,53,COLETTE ,Claudine à l'école,1900-1909,1900,139,"murs et de plafond , meublé de huit lits blancs ; Luce",me,,montre,,le,"sien , mais je m' en moque pas mal , de son lit ! Je vais"
montrer,54,COLETTE ,Claudine à l'école,1900-1909,1900,143,"c' est bien votre faute , je vous assure . Vous vous",êtes,,montrée,,pleine,"de mauvais vouloir pour moi , à mon arrivée , et"
montrer,55,COLETTE ,Claudine à l'école,1900-1909,1900,146,"directrice répond en haussant les épaules : """,vous,,montrerez,,ce,"qu' il vous demandera , mais si vous croyez qu' il s'"
montrer,56,COLETTE ,Claudine à l'école,1900-1909,1900,150,deux institutrices sont là-haut à se becqueter,...,-,montrez,,-moi,"votre seconde classe , je vous prie , mademoiselle"
montrer,57,COLETTE ,Claudine à l'école,1900-1909,1900,162,"? - heureusement non ; tiens , regarde là-dedans . Je",lui,,montre,,les,"papiers , en les tenant solidement . Elle darde sur"
montrer,58,COLETTE ,Claudine à l'école,1900-1909,1900,175,"coquetterie se modifie sensiblement , maintenant ,",on,,montre,,de,"la peau . J' inaugure des robes ouvertes en carré ,"
montrer,59,COLETTE ,Claudine à l'école,1900-1909,1900,175,les siennes jusqu' à l' épaule ; Marie,Belhomme,,montre,,des,bras dodus imprévus au-dessus de ses mains maigres
montrer,60,COLETTE ,Claudine à l'école,1900-1909,1900,176,"à l' empâtement . Ah ! Seigneur , qu' est -ce qu' on",ne,,montrerait,,pas,pour une température semblable ! En grand secret
montrer,61,COLETTE ,Claudine à l'école,1900-1909,1900,184,"je couchais dans mon lit , chez nous . ) certes , je ne",le,,montrerai,,pas,"aux autres , mais je suis malade d' agacement et d'"
montrer,62,COLETTE ,Claudine à l'école,1900-1909,1900,205,. Pauvre gosse ! Si menue dans sa chemise de jour,qui,,montre,,ses,"bras fins et ses jolies jambes . Décidément , toute"
montrer,63,COLETTE ,Claudine à l'école,1900-1909,1900,206,"des regards dévorants , acharnée à cacher ce que",je,,montre,,en,"la traînant par terre : des cuisses jaunes , un"
montrer,64,COLETTE ,Claudine à l'école,1900-1909,1900,247,"petites filles , coquettes des dessous qu'",elles,,montrent,",",exposent,surtout une quantité de lingeries
montrer,65,COLETTE ,Claudine à l'école,1900-1909,1900,248,"pas à l' admiration des lingeries excitantes ,",ils,,montrent,,d',autres merveilles : des pieds de table habilement
montrer,66,COLETTE ,Claudine à l'école,1900-1909,1900,252,"ces cris de poule égorgée dont elle a le secret , et",nous,,montre,,...,qu' effectivement elle ne porte pas de pantalon . Des
montrer,67,COLETTE ,Claudine à l'école,1900-1909,1900,261,"pour demander : "" mille dieux ! Va -t-il falloir que je",me,,montre,,là-bas,"? "" - pas du tout , papa , tu restes dans l' ombre ! -"
montrer,68,COLETTE ,Claudine à l'école,1900-1909,1900,316,"la peine , je le crierai partout , je veux qu' on",te,,montre,,dans,"les rues , je veux qu' on rie de toi ! Il ne peut rien me"
montrer,69,BOYLESVE René,La Leçon d'amour dans un parc,1900-1909,1902,9,"trop exigeante , prenant la vie comme elle venait ,",et,,montrait,,à,l' occasion son excellent coeur . faites attention :
montrer,70,BOYLESVE René,La Leçon d'amour dans un parc,1900-1909,1902,15,"d' un signe éclatant , - jusqu' à choquer même , -",qui,,montre,,bien,"qu' il ne s' agit pas là d' une amusette , mais d' un"
montrer,71,BOYLESVE René,La Leçon d'amour dans un parc,1900-1909,1902,28,"car il était content des services de cet homme , et il",se,,montrait,,généralement,paternel avec ses serviteurs . De plus
montrer,72,BOYLESVE René,La Leçon d'amour dans un parc,1900-1909,1902,42,"; on la poudre et la décollette , les grands jours . On",lui,,montre,,à,faire la révérence lorsqu' elle rencontre par
montrer,73,BOYLESVE René,La Leçon d'amour dans un parc,1900-1909,1902,45,que l'on coupait certains mots en deux lorsqu',elle,,montrait,,le,bout de son nez . Elle quittait l' un de ses souliers à
montrer,74,BOYLESVE René,La Leçon d'amour dans un parc,1900-1909,1902,70,"en enfer , grillée comme une côtelette . Jacquette",se,,montra,,un,"peu désappointée , car elle avait pensé qu' on lui"
montrer,75,BOYLESVE René,La Leçon d'amour dans un parc,1900-1909,1902,80,soin d' interrompre ses ablutions .,Châteaubedeau,,montra,,son,"nez enfariné , ses lèvres rougies , et il n' osait"
montrer,76,BOYLESVE René,La Leçon d'amour dans un parc,1900-1909,1902,87,"venait d' endosser une verte semonce , pour s'",être,,montrée,,incapable,de citer dans leur ordre les trois vertus
montrer,77,BOYLESVE René,La Leçon d'amour dans un parc,1900-1909,1902,118,"soigneusement dans un papier bien ficelé , et",les,,montra,,à,"Ninon et aux personnes présentes , entre ses deux"
montrer,78,BOYLESVE René,La Leçon d'amour dans un parc,1900-1909,1902,128,. Elle tira celle -ci hors de la feuille de papier et,la,,montra,,à,Dieutegard . Mais le chevalier s' attrista quand il
montrer,79,BOYLESVE René,La Leçon d'amour dans un parc,1900-1909,1902,147,de sottes gens lui avaient fait redouter . Foulques s',en,,montra,,extrêmement,"satisfait , et , dans sa toute première"
montrer,80,BOYLESVE René,La Leçon d'amour dans un parc,1900-1909,1902,167,"ne point partir avec sa tante , et pensaient qu' il",se,,montrerait,",",un,"jour ou l' autre , au château . Mais il ne se montra"
montrer,81,BOYLESVE René,La Leçon d'amour dans un parc,1900-1909,1902,167,", un jour ou l' autre , au château . Mais il ne",se,,montra,,plus,", et l'on sut que Madame De Matefelon n' avait point"
montrer,82,BOYLESVE René,La Leçon d'amour dans un parc,1900-1909,1902,211,". Pomme d' Api , qui assistait aux leçons ,",se,,montrait,,à,l' égard du catéchisme d' une inaptitude touchant
montrer,83,BOYLESVE René,La Leçon d'amour dans un parc,1900-1909,1902,253,"l' approche du soir , la statuette de marbre , et elle",la,,montra,,à,Châteaubedeau . Il la vit tout comme elle ; mais il s'
montrer,84,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,9,"fois , avant de porter à sa bouche la friandise , il",la,,montra,",",pour,que sa mère ou Céline s' étonnassent
montrer,85,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,12,le succès d' un couple travesti . La,servante,,montrait,,et,"discourait . à sa gauche , l' homme portait l' habit"
montrer,86,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,15,"de ce triomphe , et parmi tant de seigneurs le maître",se,,montrait,.,Or,", c' était un enfant comme Omer , un Bel enfant"
montrer,87,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,20,"chambre obscurcie , l' homme de la lanterne magique",ne,,montrait,,plus,assez de légendes . Si vite se succédaient les
montrer,88,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,45,"pommelé . Quelquefois , le grand-père et l' oncle",se,,montraient,,vêtus,de longues redingotes à brandebourgs . Ils
montrer,89,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,76,"la mort . L' effroi prit Omer , le glaça : - maman ! ...",il,,montrait,,les,taches . En lappant sa blessure la langue du chien
montrer,90,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,94,peloton déboucha au milieu d' insultes . On,lui,,montrait,,le,poing ... on l' accusait de ne plus jamais paraître
montrer,91,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,95,"des mille pas . Et voici , n' est -ce pas , ce",qui,,montre,,leur,"discipline . Un de leurs sergents , sans doute à"
montrer,92,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,97,"Une femme le suppliait ; même elle se dégrafa , elle",lui,,montra,,sa,poitrine pour tenter ... malgré l' épouvantable
montrer,93,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,126,". Certain soir , le parrain entra précipitamment .",Il,,montrait,,une,lettre du volumineux courrier retenu dans le pli de
montrer,94,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,131,"la remise . Aux jardiniers et aux servantes , le",soldat,,montrait,,les,"éraflures des balles dans le cuir , deux accrocs"
montrer,95,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,134,: - naan - zéï ? ... son doigt rugueux et,noir,,montrait,,la,direction de la route par delà le village . Il
montrer,96,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,139,"ensemble de satisfaction . Tout de suite , ils",se,,montrèrent,,les,paquets de chandelles et d' oignons pendus aux
montrer,97,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,145,"oiseaux d' or . à maintes reprises , le vieillard",avait,,montré,,ces,"insignes à son filleul , ainsi que d' autres"
montrer,98,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,154,", ni bannière , ni pancarte , ni banderole . La",tante,,montrait,,aux,murs de la chambre des sabres et des fusils
montrer,99,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,159,"exclamations royalistes . Un adolescent manchot ,",qui,,montrait,,au,"public son infirmité militaire , hurla de toutes"
montrer,100,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,184,"l' une des trois premières places . Pour Omer , il",se,,montrait,,fraternel,", le louait de vouloir devenir évêque . S'"
montrer,101,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,192,"grecque et latine , ainsi que tous les jésuites ,",il,,montrait,,comment,", sous la transparence des faits , l' idée"
montrer,102,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,208,". Il y eut un silence . Soudain , la face du jésuite",se,,montra,;,le,front était ridé et la voix fut rude : - je dois
montrer,103,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,218,adolescente ; il la déroulait ; il l' exposait ; il,la,,montrait,,complète,", et nulle par soi -même , grande par toute l'"
montrer,104,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,234,trouble et vacillante ; elle disait : - il faut que je,vous,,montre,,mes,gravures . Elle tenait la main tremblante et qu' il
montrer,105,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,242,"J' ai toujours huit chevaux , comme dans mon peloton (",il,,montrait,,l',"attelage ) . Sur la route , je connais des frères , des"
montrer,106,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,247,et Ferdinand Ier . Les,bonapartistes,,montreraient,,aux,ultras que la nation ne tolérait pas l'
montrer,107,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,247,les heures pathétiques de sa vie . Et il ne s',en,,montrait,,pas,moins charmant camarade . Il ignorait la morgue du
montrer,108,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,255,"artillerie rappelait à l' oncle leurs campagnes ,",et,,montrait,,au,"jeune homme un sansonnet en cage , son ami . Chez lui ,"
montrer,109,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,287,"royal , si tu te déplais au barreau .",Dieudonné,,montre,,du,goût pour l' état d' ingénieur . Il dirigera les
montrer,110,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,290,"père traitait en peccadilles les fautes de luxure ,",ne,,montrait,,de,fureur qu' aux minutes où l'on avouait soit un
montrer,111,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,294,quarante-huit heures aux moulins Héricourt et s',y,,montrait,,peu,"charmante . Il ne l' aimait pas . Au reste ,"
montrer,112,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,296,", à titre de probationnaire , dans la congrégation .",Il,,montra,,les,dix grains enflant le cercle extérieur de sa petite
montrer,113,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,306,que tu cèdes à un entraînement passager dont,tu,,montreras,,bientôt,"un vif repentir . "" aime notre seigneur"
montrer,114,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,337,à leur faire admettre cette unique religion . Je,leur,,montrais,,un,"squelette en demandant s' il avait été roi , noble"
montrer,115,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,340,Adam ; l'on y faisait la débauche . Le cardinal de,Rohan,,montrait,,partout,l' or sorti du laboratoire alchimique de
montrer,116,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,342,"tiare . Foule aux pieds les lys ... "" les",archivistes,,montrèrent,,à,Cagliostro les contrats passés avec les
montrer,117,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,358,"le devance chez le gouverneur russe de la place , à qui",je,,montre,,les,documents de nos loges : et le comte d' Artois ne peut
montrer,118,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,360,"le héros de Jassy , parce que ce fourbe de Metternich",a,,montré,,au,"tsar Alexandre , dans le cabinet noir de Laybach , les"
montrer,119,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,381,"avant moi , m' a bien parlé , de son vivant , du désir",que,,montre,,Mme,Cavrois de vous voir entreprendre l' étude du droit
montrer,120,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,386,"deux bonnets de coton bleu , deux hommes",qui,,montrèrent,,des,saucissons énormes . Une poularde fut lancée
montrer,121,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,389,"fille , ayant manqué le marchepied d' une",voiture,",",montrait,,involontairement,son pantalon de linge et ses
montrer,122,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,393,"arrêta Denise quand , simple et brillante , elle se",fut,,montrée,.,Il,"lui dit une phrase très fleurie , à peine entendue"
montrer,123,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,398,", cette réponse devait plaire . Le jeune homme",y,,montrait,,de,"la franchise , de la dignité , et de la déférence"
montrer,124,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,402,que le comte ait cru devoir choisir une oeuvre,qui,,montre,,ce,vilain accusant un homme né . C' est un triste exemple
montrer,125,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,412,"tante Aurélie un sujet de louanges . Pour exemple ,",elle,,montra,,dans,un autre placard intérieurement tendu de velours
montrer,126,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,418,aux libéraux . On juge les sergents de La,Rochelle,:,montrez,,-vous,"au palais , demandez à voir les prévenus . J'"
montrer,127,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,437,et rouges dans des savates de velours à trous . Elle,se,,montrait,,alors,insolente pour maman Virginie qu' elle traitait
montrer,128,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,438,"économie , sources de notre aisance . "" oh ! Oui ,",Denise,,montre,,bien,le même génie âpre et calculateur qui sut
montrer,129,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,445,"chauve , glabre , épais et bas sur jambes , qui",lui,,montra,,la,"bibliothèque , les volumes latins et grecs , reliés"
montrer,130,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,489,"rentra par hasard et , le jésuite s' étant plaint , il",se,,montra,,sévère,". Omer dut écrire sous la dictée , en manière"
montrer,131,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,499,inébranlable . Et la seule sensibilité qu',elle,,montrât,",",envers,"son fils , s' exprimait en véhémentes"
montrer,132,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,499,"ce roc immuable et sans légende . Face close , elle",ne,,montrait,,aucune,clarté de Dieu ... et ce lui fut une infinie
montrer,133,ADAM Paul,L'Enfant d'Austerlitz,1900-1909,1902,519,"des âmes , qu' à tant de vitrines les",gravures,,montraient,,assis,"sur la cime d' une roche abrupte , enclos dans ses"
montrer,134,GIDE André,L'Immoraliste,1900-1909,1902,382,dans le pouce . J' eus un frisson d' horreur ; il en,rit,",",montra,,la,coupure brillante et s' amusa de voir couler son sang .
montrer,135,GIDE André,L'Immoraliste,1900-1909,1902,401,"peaux hâlées et comme pénétrées de soleil ,",que,,montraient,",",en,"travaillant aux champs , la veste ouverte ,"
montrer,136,GIDE André,L'Immoraliste,1900-1909,1902,407,", je parlai sérieusement de retour ; à la joie qu'",en,,montra,,Marceline,", je compris qu' elle y songeait depuis"
montrer,137,GIDE André,L'Immoraliste,1900-1909,1902,423,", cette compréhension , il faut avouer qu' ils ne",la,,montraient,,guère,"; il me parut que la plupart ne vivaient point ,"
montrer,138,GIDE André,L'Immoraliste,1900-1909,1902,427,"! - mais , dis -je avec une légère impatience , rien ne",me,,montre,,encore,que je puisse vous parler plus qu' aux autres .
montrer,139,GIDE André,L'Immoraliste,1900-1909,1902,428,aviez vu le vol et vous n' avez rien dit ! Moktir s',est,,montré,,fort,surpris de ce silence ... moi aussi . - je ne le suis
montrer,140,GIDE André,L'Immoraliste,1900-1909,1902,440,emmener Marceline dans la montagne ; mais elle,me,,montra,,le,"désir le plus vif de retourner en Normandie ,"
montrer,141,GIDE André,L'Immoraliste,1900-1909,1902,443,ne pas répondre avec trop de froideur à la joie qu',il,,montrait,,de,me revoir ; mais même cette joie me déplut ; elle
montrer,142,GIDE André,L'Immoraliste,1900-1909,1902,447,sont si grands que ça n' y fait pas bien du tort . Je m',en,,montrai,,si,"peu mécontent que , bien vite , Bute enhardi et , je"
montrer,143,GIDE André,L'Immoraliste,1900-1909,1902,447,"aujourd'hui , heureux de desservir un peu Bocage ,",me,,montra,,dans,"tel creux des collets tendus par Alcide , puis m'"
montrer,144,GIDE André,L'Immoraliste,1900-1909,1902,448,. - fais voir . Il fait glisser son bas sur ses galoches,et,,montre,,sa,cheville où l'on distingue à peine une légère
montrer,145,GIDE André,L'Immoraliste,1900-1909,1902,448,là . - pourquoi donc pas ? - vous n' sauriez pas si,bien,.,Montrez,,-moi,comment que vous faites . - apprends -moi ... ce
montrer,146,GIDE André,L'Immoraliste,1900-1909,1902,456,"de la lanterne , je regarde ... rien . Mais j' ai",trop,,montré,,mon,angoisse ; Marceline tristement s' efforce de
montrer,147,GIDE André,L'Immoraliste,1900-1909,1902,472,"petit Ali , nous a surpris couchés ensemble . Il s'",est,,montré,,fort,irrité et n' a pas voulu revenir de cinq jours .
